name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description
"New York City,USA",2018-07-13T00:00:00Z,29.2,21.1,24.6,28.9,21.1,24.6,16.7,63.3,0,0,0,0,0,37.1,10.5,181.8,1023.5,1.8,15.9,292.7,25.4,9,2018-07-13T03:36:13Z,2018-07-13T18:27:02Z,0.02,Clear,Clear conditions throughout the day.
"New York City,USA",2018-07-14T00:00:00Z,31.7,21.2,26.5,32.7,21.2,26.9,17.2,57.8,0,0,0,0,0,38.9,13.1,231.5,1020.2,17.2,15.8,270.1,23.4,9,2018-07-14T03:36:58Z,2018-07-14T18:26:29Z,0.05,Clear,Clear conditions throughout the day.
"New York City,USA",2018-07-15T00:00:00Z,29.9,21.2,24.4,32.2,21.2,24.9,20.6,80.9,4.753,100,41.67,0,0,10.6,10.6,245.2,1016.7,47.5,15.3,152.4,13.1,6,2018-07-15T03:37:44Z,2018-07-15T18:25:54Z,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
"New York City,USA",2018-07-16T00:00:00Z,32.2,23.9,27.7,37.3,23.9,29.7,22.1,72.5,0.232,100,4.17,0,0,38.9,31.7,196.7,1014.5,4.1,15.9,281.8,24.2,9,2018-07-16T03:38:32Z,2018-07-16T18:25:17Z,0.12,Rain,Clear conditions throughout the day with morning rain.
"New York City,USA",2018-07-17T00:00:00Z,31.6,22,25.7,36.6,22,26.9,22.3,82.4,3.589,100,29.17,0,0,37.1,33.5,224,1012.4,47.8,14.9,153.8,13.3,9,2018-07-17T03:39:20Z,2018-07-17T18:24:39Z,0.15,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.
"New York City,USA",2018-07-18T00:00:00Z,28.8,21.1,25.1,29.3,21.1,24.9,14.8,56.1,0,0,0,0,0,38.9,28.5,346.7,1011.9,32.1,15.9,292,25.1,9,2018-07-18T03:40:09Z,2018-07-18T18:23:58Z,0.19,Partially cloudy,Partly cloudy throughout the day.
"New York City,USA",2018-07-19T00:00:00Z,27.5,19.3,23.5,26.8,19.3,23.4,10.9,46.1,0,0,0,0,0,25.9,16.9,58.6,1018.1,3.7,16,316.8,27.3,10,2018-07-19T03:40:58Z,2018-07-19T18:23:16Z,0.25,Clear,Clear conditions throughout the day.
"New York City,USA",2018-07-20T00:00:00Z,27.7,20.9,23.8,27.8,20.9,23.8,15.5,61.5,0,0,0,0,0,34.6,18.4,157.2,1020.5,25.9,15.9,299.5,25.8,9,2018-07-20T03:41:49Z,2018-07-20T18:22:31Z,0.26,Partially cloudy,Partly cloudy throughout the day.
"New York City,USA",2018-07-21T00:00:00Z,24.6,18.7,22.1,24.6,18.7,22.1,15.1,65.3,7.798,100,16.67,0,0,38.9,28.1,80.5,1017.4,62,14.9,222.3,19.1,9,2018-07-21T03:42:40Z,2018-07-21T18:21:45Z,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
"New York City,USA",2018-07-22T00:00:00Z,26.4,19.9,23.8,26.4,19.9,23.8,21.7,88.3,28.878,100,58.33,0,0,62.3,38.4,129.7,1012.6,98.4,11.4,155.7,13.4,7,2018-07-22T03:43:32Z,2018-07-22T18:20:58Z,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
"New York City,USA",2018-07-23T00:00:00Z,27.3,23.1,24.9,30.1,23.1,25.3,22.8,88.7,4.611,100,33.33,0,0,54.8,28,151,1018.9,97.1,12.3,146,12.7,7,2018-07-23T03:44:25Z,2018-07-23T18:20:08Z,0.36,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
"New York City,USA",2018-07-24T00:00:00Z,27.8,24.1,25.9,30.5,24.1,26.7,22.7,82.9,0.308,100,4.17,0,0,51.5,27.7,150.1,1021.3,94.5,14.5,183.2,15.9,8,2018-07-24T03:45:18Z,2018-07-24T18:19:16Z,0.39,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.
"New York City,USA",2018-07-25T00:00:00Z,25.4,22.8,24.4,25.4,22.8,24.4,22.7,90.5,17.114,100,62.5,0,0,48.1,27,157.5,1015.3,99.3,13,124.3,10.8,5,2018-07-25T03:46:12Z,2018-07-25T18:18:23Z,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
